Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
329,community side trails,18.0324080000,-66.0294466000,164.1220000000,5.1211163084
330,community side trails,18.0323810000,-66.0294096000,163.5220000000,4.7568409289
331,community side trails,18.0323518000,-66.0293774000,162.9120000000,4.8815284280
332,community side trails,18.0323204000,-66.0293488000,162.2720000000,4.6656848300
333,community side trails,18.0322776000,-66.0293182000,161.8120000000,5.8322741715
334,community side trails,18.0322356000,-66.0292896000,161.4520000000,5.5683068707
335,community side trails,18.0321896000,-66.0292652000,161.1520000000,5.5735934013
336,community side trails,18.0321498000,-66.0292492000,160.8020000000,4.8874610970
337,community side trails,18.0321034000,-66.0292426000,160.0220000000,5.4216053449
338,community side trails,18.0320494000,-66.0292412000,159.2820000000,5.9323233488
339,community side trails,18.0319906000,-66.0292478000,158.3020000000,6.7560509263
340,community side trails,18.0319366000,-66.0292592000,157.4720000000,5.9879299304
341,community side trails,18.0318912000,-66.0292702000,157.1220000000,5.5765096187
342,community side trails,18.0318440000,-66.0292788000,156.6520000000,5.3857501349
343,community side trails,18.0317890000,-66.0292750000,156.2720000000,5.9422895294
344,community side trails,18.0317394000,-66.0292688000,155.7820000000,5.5749800275
345,community side trails,18.0316782000,-66.0292454000,154.8620000000,7.4775001872
346,community side trails,18.0316378000,-66.0292276000,154.1220000000,4.8372579858
347,community side trails,18.0315906000,-66.0292022000,153.2020000000,5.6410438442
348,community side trails,18.0315460000,-66.0291902000,152.1320000000,5.6674399558
349,community side trails,18.0315020000,-66.0291820000,151.0320000000,5.1090036435
350,community side trails,18.0314578000,-66.0291846000,149.4620000000,4.9996676889
351,community side trails,18.0314262000,-66.0291890000,149.3020000000,3.6825943489
352,community side trails,18.0314002000,-66.0292002000,149.6020000000,3.2074331264
353,community side trails,18.0313776000,-66.0292144000,151.1620000000,3.2576648437
354,community side trails,18.0313534000,-66.0292404000,152.0920000000,4.1618616398
355,community side trails,18.0313334000,-66.0292730000,152.6320000000,4.2062368897
356,community side trails,18.0313146000,-66.0293132000,152.7520000000,4.1731560950
357,community side trails,18.0313000000,-66.0293542000,152.8720000000,5.3376342090
358,community side trails,18.0312808000,-66.0294068000,153.2220000000,5.4809190292
359,community side trails,18.0312698000,-66.0294570000,153.6320000000,5.9425275224
360,community side trails,18.0312572000,-66.0295142000,154.0420000000,5.2431311496
361,community side trails,18.0312558000,-66.0295676000,154.2720000000,5.7851533088
362,community side trails,18.0312574000,-66.0296234000,154.3620000000,6.5030381331
363,community side trails,18.0312646000,-66.0296794000,154.4320000000,5.8553580284
364,community side trails,18.0312754000,-66.0297334000,154.4920000000,5.8552466558
365,community side trails,18.0312888000,-66.0297830000,154.5420000000,5.9740095361
366,community side trails,18.0313030000,-66.0298284000,154.5820000000,4.6580492446
367,community side trails,18.0313192000,-66.0298742000,154.6520000000,5.3367438653
368,community side trails,18.0313396000,-66.0299204000,154.7220000000,5.5454514043
369,community side trails,18.0313654000,-66.0299680000,154.9920000000,5.2988308814
370,community side trails,18.0313924000,-66.0300122000,155.0520000000,5.8981703515
371,community side trails,18.0314196000,-66.0300510000,155.2420000000,5.1887591604
372,community side trails,18.0314426000,-66.0300848000,155.2120000000,3.9257622093
373,community side trails,18.0314666000,-66.0301200000,155.2420000000,5.0835556879
374,community side trails,18.0314946000,-66.0301576000,155.3620000000,4.7203890028
375,community side trails,18.0315236000,-66.0302044000,155.5320000000,6.0002792588
376,community side trails,18.0315534000,-66.0302562000,155.7720000000,6.6223282747
377,community side trails,18.0315812000,-66.0303110000,155.9320000000,6.6199110410
378,community side trails,18.0316060000,-66.0303676000,156.0520000000,5.8035828433
