name,lat,long,time,dist,elev
system to first house,18.058361400000006,-66.03183680000001,2019-08-05 17:49:33+00:00,0.0001801849723465989,169.31799999999998
system to first house,18.058384600000004,-66.0318068,2019-08-05 17:49:34+00:00,0.0001801849723465989,169.07800000000003
system to first house,18.0584068,-66.03178,2019-08-05 17:49:35+00:00,0.0001801849723465989,168.878
system to first house,18.0584248,-66.0317582,2019-08-05 17:49:36+00:00,0.0001801849723465989,168.71800000000002
system to first house,18.058441199999997,-66.03173840000001,2019-08-05 17:49:37+00:00,0.0001801849723465989,168.668
system to first house,18.058453399999998,-66.0317206,2019-08-05 17:49:40+00:00,0.0001801849723465989,168.71800000000002
system to first house,18.058463600000003,-66.03170180000001,2019-08-05 17:49:45+00:00,0.0001801849723465989,168.868
system to first house,18.058469,-66.0316822,2019-08-05 17:49:47+00:00,0.0001801849723465989,169.228
system to first house,18.058471000000004,-66.03166379999999,2019-08-05 17:49:50+00:00,0.0001801849723465989,169.638
system to first house,18.058468600000005,-66.0316454,2019-08-05 17:49:53+00:00,0.0001801849723465989,170.08800000000002
system to first house,18.0584626,-66.031628,2019-08-05 17:49:55+00:00,0.0001801849723465989,170.50799999999998
system to first house,18.0584498,-66.0316134,2019-08-05 17:49:57+00:00,0.0001801849723465989,170.918
system to first house,18.0584342,-66.0316024,2019-08-05 17:49:59+00:00,0.0001801849723465989,171.488
system to first house,18.0584148,-66.03159540000001,2019-08-05 17:50:01+00:00,0.0001801849723465989,171.82800000000003
system to first house,18.0583948,-66.03159260000001,2019-08-05 17:50:03+00:00,0.0001801849723465989,172.168
system to first house,18.0583682,-66.03159060000002,2019-08-05 17:50:04+00:00,0.0001801849723465989,172.108
system to first house,18.0583332,-66.0315896,2019-08-05 17:50:05+00:00,0.0001801849723465989,172.08800000000002
system to first house,18.058288600000004,-66.031586,2019-08-05 17:50:06+00:00,0.0001801849723465989,171.808
system to first house,18.058235999999997,-66.0315834,2019-08-05 17:50:07+00:00,0.0001801849723465989,171.478
system to first house,18.0581804,-66.03158040000001,2019-08-05 17:50:08+00:00,0.0001801849723465989,170.948
system to first house,18.058123,-66.03158040000001,2019-08-05 17:50:09+00:00,0.0001801849723465989,170.498
system to first house,18.0580668,-66.03158020000001,2019-08-05 17:50:10+00:00,0.0001801849723465989,169.978
system to first house,18.0580126,-66.0315776,2019-08-05 17:50:11+00:00,0.0001801849723465989,169.46800000000002
